,title, salary, cop_name, cop_info, exprence, tags, welfare
631, Shenzhen · Longgang District · Bantian, 15-30K," Huawei Technologies Co., Ltd"," Computer software does not require financing for more than 10,000 people", 1-3 years undergraduate, python,"Meal allowance, holiday benefits, paid annual leave, afternoon tea with snacks, employee travel, full attendance bonus, stock option, termination compensation, communication allowance, free shuttle bus, overtime allowance, transportation allowance, regular medical examination, five social insurances and one housing fund, supplementary medical insurance, Year-end bonus, housing allowance"
632, Beijing·Changping District·Huilongguan, 20-35K·14 salary, Zero Rhino Technology, Computer software C round 100-499 people, 3-5 years undergraduate, python," Stock options, afternoon tea with snacks, holiday benefits, transportation subsidies, year-end bonuses, paid annual leave, five insurances and one housing fund"
633, Guangzhou Baiyun District Tongde, 20-40K 14 salary," Huawei Technologies Co., Ltd"," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, python," Holiday benefits, communication subsidies, regular physical examinations, year-end bonuses, employee travel, termination compensation, five social insurances and one housing fund, free shuttle buses, paid annual leave, supplementary medical insurance, housing subsidies, full attendance bonuses, transportation subsidies, snacks, afternoon tea, meal subsidies, stock options, overtime pay"
634," Beijing, Haidian District, Shangdi", 25-35K, Guoke Hengtong,Computer software unfinanced 100-499 people, 3-5 years undergraduate, container technology," Employee travel, regular physical examination, year-end bonus, holiday benefits, paid annual leave, communication subsidy, five social insurances and one housing fund"
635, Changsha·Yuelu District·Foreign Economics College, 11-22K·13 Salary, Enjoy the classroom, Online education unfinanced 100-499 people, Unlimited undergraduate experience, Java," Afternoon tea with snacks, wrapping, supplementary medical insurance, holiday benefits, paid annual leave, employee travel, regular physical examination, five insurances"
636, Hangzhou Binjiang District Changhe, 10-14K, Hank era, Internet does not need financing 1000-9999 people, 1-3 years undergraduate, Linux," Employee travel, housing subsidy, paid annual leave, year-end bonus, transportation subsidy, holiday benefits, five social insurances and one housing fund, regular physical examination, communication subsidy"
637, Beijing Chaoyang District Sihui, 15-30K, Dragonfly Smart, Computer software A round 20-99 people, 3-5 years undergraduate, python," Holiday benefits, employee travel, full attendance bonus, regular physical examination, stock options, paid annual leave, year-end bonus, five insurances and one housing fund"
638, Wuhan · Jiangxia District · Optics Valley,13-18K·18 salary, Changjiang Securities, Internet finance does not require financing 1000-9999 people, Unlimited Master's Degree, MySQL," Employee travel, transportation subsidy, five insurances and one housing fund, communication subsidy, holiday benefits, year-end bonus, food package, regular physical examination, supplementary medical insurance, paid annual leave, meal allowance"
639, Shenzhen · Longgang District · Bantian, 15-30K, Huawei," Computer software does not require financing for more than 10,000 people", 3-5 years undergraduate, python," Employee travel, stock options, five social insurances and one housing fund, supplementary medical insurance, year-end bonuses, holiday benefits, regular physical examinations, meal supplements, snacks, afternoon tea, and overtime allowances"
640, Qingdao, 9-13K, Shandong Red Code Education Technology, Academic/research unfinanced 0-20 people, 1-3 years undergraduate, Graphical programming," Employee travel, five insurances and one housing fund, full attendance bonus, meal allowance, overtime allowance, communication allowance, transportation allowance, regular medical examination, paid annual leave, year-end bonus, stock option, housing allowance"
641, Hangzhou Binjiang District Changhe, 15-30K 14 salary, Shenzhen Huawei," Communication/network equipment does not require financing for more than 10,000 people", 3-5 years undergraduate,data structure," Transportation allowance, year-end bonus, five social insurances and one housing fund, snacks, afternoon tea, communication allowance, company garden community, overtime allowance, paid annual leave, full attendance bonus, company commuting, employee travel, regular medical examination, holiday benefits, stock options, free of charge shuttle"
642, Chengdu·Pidu District·High-tech West, 18-25K, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, python," Supplementary medical insurance, overtime allowance, meal allowance, regular physical examination, afternoon tea with snacks, holiday benefits, year-end bonus, stock options, five insurances and one housing fund, employee travel"
643, Wuhan, 8-12K 13 salary, Le Wei, Internet unfinanced 100-499 people, 3-5 years undergraduate, Web crawler technology," Staff travel, afternoon tea with snacks, holiday benefits, year-end bonus, paid annual leave, five social insurances and one housing fund"
644, Xiamen·Huli District·Heshan, 12-20K, Yifatong, The Internet has listed 500-999 people, 3-5 years undergraduate, Django," Holiday benefits, year-end bonus, employee travel, paid annual leave, five social insurances and one housing fund"
645, Wuhan·Hongshan District·Huangjiahu University Town,9-14K, Beyondsoft," Computer software has been listed for more than 10,000 people", 1-3 years college, Go," Year-end bonus, paid annual leave, free shuttle bus, five insurances and one housing fund, holiday benefits, regular medical examination"
646, Beijing·Shijingshan·Apple Orchard, 12-19K, Dongtu Zhengchuang, Computer hardware 20-99 people, 1-3 years undergraduate, Linux," Year-end bonus, five insurances and one housing fund, free shuttle bus, stock options, regular physical examination, overtime allowance, meal allowance, paid annual leave, holiday benefits"
647," Beijing, Chaoyang District, Sanlitun", 18-30K 14 salary, ZingFront, Mobile Internet A round 100-499 people, 3-5 years undergraduate, python," Employee travel, regular physical examination, supplementary medical insurance, afternoon tea with snacks, stock options, five social insurances and one housing fund, holiday benefits, housing subsidies, paid annual leave"
648, Shanghai, 250-350 yuan/day, Inceptio Technology, Intelligent hardware B round 500-999 people, 4 days/week 3 months undergraduate, deep learning," Year-end bonus, meal allowance, stock option, communication allowance, five insurances and one housing fund, regular physical examination, supplementary medical insurance, paid annual leave"
649, Shanghai, 15-30K,"Shanghai Jiuyang Technology Co., Ltd...", Computer software unfinanced 20-99 people, 3-5 years undergraduate, python," Afternoon tea with snacks, holiday benefits, transportation allowance, food package, five social insurances and one housing fund, paid annual leave, meal allowance"
650, Guangzhou·Tianhe District·Zhujiang New Town, 10-15K, Zhongsituo, Computer software unfinanced 20-99 people, 1-3 years undergraduate, Web crawler technology," Holiday benefits, meal allowance, afternoon tea with snacks, attendance bonus, communication allowance, five social insurances and one housing fund, year-end bonus, paid annual leave"
651, Xi'an Yanta District High-tech Software Park, 11-14K, Beyondsoft," Computer software has been listed for more than 10,000 people", 3-5 years junior college, Java," Paid annual leave, free shuttle bus, holiday benefits, five insurances and one housing fund, regular physical examination, year-end bonus"
652, Shanghai, 10-15K, Great wisdom, 1000-9999 people have been listed on the Internet, 1-3 years undergraduate, search engine technology," Five insurances and one housing fund, meal allowance, regular physical examination, holiday benefits, year-end bonus, stock options, paid annual leave, afternoon tea with snacks"
653, Xi'an Yanta District Zhangba, 15-30K, Chinasoft International,"Computer software has been listed for more than 10,000 people", Unlimited undergraduate experience, python," Free shuttle bus, year-end bonus, holiday benefits, paid annual leave, meal allowance, regular physical examination, five social insurances and one housing fund, employee travel, overtime allowance, snacks and afternoon tea"
654, Xi'an Yanta District High-tech Software Park, 15-30K 16 salary," Huawei Technologies Co., Ltd"," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, python," Holiday benefits, supplementary medical insurance, employee travel, snacks, afternoon tea, overtime allowance, five insurances and one housing fund, transportation allowance, year-end bonus, termination compensation, paid annual leave, regular physical examination, full attendance bonus, stock option, communication allowance, free shuttle bus, housing allowance, meal allowance"
655, Beijing·Chaoyang District·Wangjing, 15-30K, Newbanker, Internet C round 100-499 people, 3-5 years undergraduate, Java," Five insurances and one housing fund, snacks, afternoon tea, holiday benefits, stock options, employee travel, paid annual leave"
656, Guangzhou·Tianhe District·Chebei, 12-20K·13 Salary, fog flag intelligence, Information Security A round 20-99 people, 1-3 years college, python,"Transportation allowance, five social insurances and one housing fund, employee travel, afternoon tea with snacks, holiday benefits, overtime allowance, no discount during the trial period, meal allowance, year-end bonus, regular medical examination, paid annual leave"
657, Hefei, 10-15K, Hequ Technology, E-commerce unfinanced 1000-9999 people, 1-3 years undergraduate, Web crawler technology," Five insurances, training, housing allowance, overtime allowance, meal allowance, holiday benefits, employee travel, year-end bonus"
658, Tianjin · Dongli District · Dongli Development Zone, 10-15K, China Automotive Information Technology, Computer software 100-499 people, 3-5 years undergraduate, Linux," Enterprise annuity, year-end bonus, supplementary medical insurance, meal allowance, heating subsidy, high temperature subsidy, supplementary provident fund, five insurances and one housing fund, paid annual leave, holiday benefits, regular medical examination, high temperature leave"
659, Hangzhou, 8-13K·14 salary, Optical Cloud Software, Computer software angel wheel 20-99 people, 1-3 years undergraduate, Java, Five insurances and one housing fund
660, Hangzhou Binjiang District Changhe, 15-30K," Huawei Technologies Co., Ltd"," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience,Virtual Machine Technology," Attendance bonus, housing subsidy, supplementary medical insurance, five social insurances and one housing fund, stock options, year-end bonus, transportation subsidy, regular physical examination, employee travel, communication subsidy, severance compensation, holiday benefits, overtime subsidy, free shuttle bus, snacks, afternoon tea, with annual leave, meal allowance"
661, Qingdao·Shibei District·CBD, 8-13K, Tong Cheng Tong Mei," Online education has been listed for more than 10,000 people", 1-3 years undergraduate, Java," Holiday benefits, paid annual leave, stock options, five insurances and one housing fund, snacks, afternoon tea, employee travel, meal allowance"
662, Shanghai, 18-35K 13 salary, Long Anke, Information Security A round 100-499 people, 1-3 years undergraduate, python," Regular physical examination, five insurances and one housing fund, food package, transportation allowance, full attendance bonus, meal allowance, supplementary medical insurance, stock options, year-end bonus, employee travel, overtime allowance, paid annual leave, afternoon tea with snacks"
663, Wuhan·Jiangxia District·Financial Port, 8-13K, Fiberhome," Communication/network equipment has been listed for more than 10,000 people", 1-3 years undergraduate, data structure,"Holiday benefits, stock options, five social insurances and one housing fund, regular physical examination, meal allowance, paid annual leave, year-end bonus, supplementary medical insurance, free shuttle bus, food package"
664, Yantai, 8-13K 15 salary, Minglue Technology, Internet D round and above 1000-9999 people, 1-3 years college, distributed technology," Overtime allowance, regular physical examination, transportation allowance, supplementary medical insurance, year-end bonus, five insurances and one housing fund, snacks, afternoon tea, paid annual leave"
665," Beijing, Haidian District, Shangdi", 200-400 yuan/day, Moyun Technology, Information security round B 100-499 people, 5 days/week 3 months undergraduate, rear end," Afternoon tea with snacks, regular physical examination, holiday benefits, meal allowance, year-end bonus, paid annual leave, overtime allowance, five insurances and one housing fund, stock options"
666, Shenzhen·Nanshan District·Science and Technology Park, 10-11K·13 Salary, Spark Fantasy, Game A round 100-499 people, 1-3 years undergraduate, MySQL,"Snack afternoon tea, paid sick leave, five insurances and one housing fund, overtime allowance, employee travel, supplementary medical insurance, year-end bonus, transportation allowance, meal allowance, paid annual leave, stock options, holiday benefits, project awards, regular medical examination"
667, Zaozhuang·Tengzhou·Xueyuan Road, 10-15K," Yitong Internet of Things Co., Ltd.", Internet unfinanced 20-99 people, 1-3 years college, python," Paid annual leave, employee travel, afternoon tea with snacks, holiday benefits, full attendance bonus, five social insurances and one housing fund"
668, Zhengzhou Jinshui District Longzihu Campus, 9-14K, iSoftStone Information Technology Group," Computer software has been listed for more than 10,000 people", 1-3 years undergraduate, python," Paid annual leave, year-end bonus, employee travel, free shuttle bus, afternoon tea with snacks, communication subsidy, supplementary medical insurance, holiday benefits, meal subsidy, transportation subsidy, overtime subsidy, full attendance bonus, five insurances and one housing fund, free food, regular medical examination"
669, Shenzhen·Nanshan District·Xili, 30-60K 15 salary, Enterprise knows, Enterprise service unfinanced 1000-9999 people, 5-10 years undergraduate, python,"Stock options, gym, employee travel, five insurances and one housing fund, afternoon tea with snacks, holiday benefits, regular physical examination, year-end bonus, paid annual leave"
670, Shanghai·Minhang District·Pujiang, 20-35K 13 salary, Zhijiang Bio, Health care has listed 500-999 people, 5-10 years undergraduate, distributed technology," Dormitory, overtime allowance, employee travel, holiday benefits, year-end bonus, regular physical examination, five insurances and one housing fund, paid annual leave, afternoon tea with snacks, meal allowance"
671, Taiyuan·Xiaodian District·South Central Street, 5-9K, China Net Huaxin, Data service 100-499 people, Unlimited undergraduate experience, Django,
672, Chengdu·Pidu District·High-tech West, 15-30K 16 salary, Huawei," Computer software does not require financing for more than 10,000 people", 3-5 years undergraduate, Linux," Stock options, regular physical examination, afternoon tea with snacks, supplementary medical insurance, overtime allowance, five social insurances and one housing fund, year-end bonus, meal allowance, employee travel, holiday benefits"
673, Zaozhuang, 10-15K," Yitong Internet of Things Co., Ltd.", Internet unfinanced 20-99 people, 1-3 years college, javapython,"Holiday benefits, afternoon tea with snacks, paid annual leave, employee travel, full attendance award, five social insurances and one housing fund"
674, Hangzhou·Yuhang District·Cangqian, 30-40K 13 salary, Swift Ant, Intelligent hardware B round 100-499 people, 3-5 years of education is not limited, Django," Regular physical examination, holiday benefits, employee travel, year-end bonus, stock options, paid annual leave, five social insurances and one housing fund, snacks, afternoon tea, overtime allowance, supplementary medical insurance, transportation allowance"
675, Shanghai·Pudong New Area·Zhangjiang, 15-20K, Medtrum, Medical equipment/apparatus C round 100-499 persons, 1-3 years undergraduate, python,
676, Dongguan·Dalang Town·Songfo Road, 12-24K, Chinasoft International," Computer software has been listed for more than 10,000 people", Unlimited undergraduate experience, Microservice Architecture," Meal allowance, free shuttle bus, five insurances and one housing fund, overtime allowance, snack afternoon tea, employee travel, holiday benefits, year-end bonus, regular medical examination, paid annual leave"
677, Hangzhou·Yuhang District·Wuchang, 15-30K 14 salary, Baorong Technology, Computer software unfinanced 1000-9999 people, Experience is not limited to college, pyqt,"Holiday benefits, transportation subsidies, paid annual leave, employee travel, meal allowance, weekends off, regular physical examination, afternoon tea with snacks, six insurances and one housing fund, year-end bonus, communication subsidy"
678, Shanghai · Jing'an District · Daning, 16-22K 16 salary, Oneta Technology, Enterprise service A round 100-499 people, 3-5 years undergraduate, python," Employee travel, afternoon tea with snacks, holiday benefits, paid annual leave, stock options, year-end bonus, transportation allowance, regular physical examination, meal allowance, five insurances and one housing fund"
679, Shanghai · Jing'an District · Daning, 20-40K 16 salary, Product data, Data service A round 100-499 people, 5-10 years undergraduate, distributed technology," Holiday benefits, employee travel, afternoon tea with snacks, paid annual leave, transportation allowance, stock options, year-end bonus, regular medical examination, five insurances and one housing fund"
680, Beijing Chaoyang District Jiuxian Bridge, 10-15K, iSoftStone Information Technology Group," Computer software has been listed for more than 10,000 people", 1-3 years undergraduate, python,"Holiday benefits, overtime allowance, full attendance bonus, employee travel, afternoon tea with snacks, five insurances and one housing fund, free shuttle bus, year-end bonus, paid annual leave, regular physical examination, free food, communication allowance, supplementary medical insurance, transportation allowance, meal allowance"
681, Shanghai, 20-35K·14 salary, Smart rent and power exchange, O2OB round 100-499 people, 1-3 years undergraduate, distributed technology," Five insurances and one housing fund, meal allowance, holiday benefits, year-end bonus, free shuttle bus, paid annual leave, stock options"
682, Langfang·Guangyang District·New Chaoyang, 12-20K·14 salary, ZingFront, Mobile Internet A round 100-499 people, 3-5 years undergraduate, PHP," Housing subsidy, afternoon tea with snacks, holiday benefits, paid annual leave, employee travel, regular physical examination, supplementary medical insurance, stock options, five insurances and one housing fund"
683, Shanghai·Pudong New Area·Tangqiao, 12-20K·14 salary, ECCOM Network, Computer software unfinanced 1000-9999 people, Unlimited undergraduate experience, data structure,"Paid annual leave, overtime allowance, regular medical examination, communication allowance, year-end bonus, transportation allowance, training system, employee travel, five insurances and one housing fund, stock options, supplementary medical insurance, holiday benefits"
684, Hangzhou Binjiang District Changhe, 20-40K 16 salary, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, MySQL," Employee travel, five insurances and one housing fund, stock options, year-end bonus, afternoon tea with snacks, holiday benefits, overtime allowance, meal allowance, regular medical examination, supplementary medical insurance"
685, Chengdu · Wuhou District · Guixi, 12-24K·14 salary, Qingyun, Enterprise services have been listed 500-999 people, 3-5 years undergraduate, Go," Stock options, communication subsidy, regular physical examination, supplementary medical insurance, five insurances and one housing fund, welfare annual leave"
686, Nanjing, 12-22K, mesh information technology, Mobile Internet B round 500-999 people, 3-5 years undergraduate, Go," Afternoon tea with snacks, regular physical examination, food package, paid annual leave, supplementary medical insurance, holiday benefits, employee travel, five social insurances and one housing fund"
687, Wuhan·Jiangxia District·Optics Valley East, 15-30K,"Huawei Technologies Co., Ltd"," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, python," Transportation subsidy, supplementary medical insurance, free shuttle bus, stock option, communication subsidy, year-end bonus, housing subsidy, overtime subsidy, holiday benefits, five social insurances and one housing fund, paid annual leave, meal subsidy, termination compensation, regular medical examination, full attendance bonus, employee travel, snack afternoon tea"
688, Xi'an Yanta District Fenglin Oasis, 15-30K 14 salary, Tencent," The Internet does not need to finance more than 10,000 people", 1-3 years undergraduate, Go," Free gym, meal allowance, free food, stock options, free shuttle bus, five social insurances and one housing fund, paid annual leave, afternoon tea with snacks, transportation subsidies, holiday benefits, activities around dolls, free breakfast and dinner, housing subsidies, employee travel, regular medical examinations , year-end bonus, supplementary medical insurance"
689, Wenzhou·Lucheng District·Maanchi, 9-14K, Kayi Smart Medical, Health care unfinanced 100-499 people, Experience is not limited to college, python,"Employee travel, paid annual leave, five insurances and one housing fund, supplementary medical insurance, communication subsidy, holiday benefits, full attendance award, regular physical examination, year-end bonus, stock option, overtime allowance"
690, Shanghai·Yangpu District·East Bund, 23-35K 13 salary, Shanghai Zhanwan Information Technology, Computer software A round 100-499 people, 5-10 years undergraduate, container technology," Staff travel, afternoon tea with snacks, paid annual leave, year-end bonus, regular physical examination, five insurances and one housing fund, stock options, holiday benefits"
691, Xi'an Yanta District High-tech Software Park, 15-25K 16 salary, Huawei," Computer software does not require financing for more than 10,000 people", 1-3 years undergraduate, computer software," Year-end bonus, five insurances and one housing fund, stock options, regular physical examination, holiday benefits, afternoon tea with snacks, supplementary medical insurance, overtime allowance, employee travel, meal allowance"
692, Guiyang Nanming District Xingguan, 12-24K," Guizhou Qianchi Information Co., Ltd...", Computer software 100-499 people, 3-5 years undergraduate, Algorithm Fundamentals,"Paid annual leave, supplementary medical insurance, year-end bonus, project bonus, five insurances and one housing fund, birthday benefits, holiday benefits, regular physical examination"
693, Beijing Chaoyang District Jiuxian Bridge, 12-18K, Beyondsoft," More than 10,000 people have been listed on the mobile Internet", 1-3 years undergraduate, python," Paid annual leave, holiday benefits, year-end bonus, regular physical examination, five insurances and one housing fund"
694, Xiangtan·Yuetang District·Jianxin Plaza, 6-8K, Tong Cheng Tong Mei, Training institutions have listed 1000-9999 people, Unlimited undergraduate experience, python," Paid annual leave, five insurances and one housing fund, meal allowance"
695, Anshan · Zhongshan District · Erqi, 5-10K, digital network, Internet unfinanced 20-99 people, 3-5 years of education is not limited, Web crawler technology," Five insurances and one housing fund, meal allowance, transportation allowance, attendance bonus, holiday benefits, paid annual leave, year-end bonus"
696, Huaian·Qingjiangpu District·Huaihai North Road, 5-8K, Nice future education, Training institutions do not need to finance 20-99 people, 1-3 years college, python,"Meal Subsidy, Overtime Subsidy, Housing Subsidy, Paid Annual Leave, Transportation Subsidy, Holiday Benefits, Stock Options, Employee Travel, Full Attendance Award, Communication Subsidy, Five Insurances and One Housing Fund, Year-End Bonus"
697, Shenzhen·Nanshan District·Science and Technology Park, 10-11K·13 Salary, Shenzhen Taole, The game does not require financing 500-999 people, 1-3 years undergraduate, python," Paid annual leave, holiday benefits, year-end bonus, supplementary medical insurance, afternoon tea with snacks"
698, Shanghai·Pudong New Area·Zhangjiang, 12-22K, Digital Technology, Data service A round 20-99 people, Unlimited experience Unlimited education, SQL," Year-end bonus, employee travel, paid annual leave, five insurances and one housing fund, stock options, supplementary medical insurance, communication subsidies, afternoon tea with snacks"
699, Fuzhou·Minhou County·New West Railway Station, 110-150 yuan/day, Ruijie Networks, Communication/network equipment has been listed 1000-9999 people, 4 days/week 3 months education is not limited, Linux,"Regular physical examination, afternoon tea with snacks, holiday benefits, overtime allowance, meal allowance, employee travel, five insurances and one housing fund, communication allowance, food package, supplementary medical insurance, year-end bonus, paid annual leave, transportation allowance, free shuttle bus"
700," Beijing, Haidian District, Northwest Wang", 20-35K 15 salary, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, Go," Supplementary medical insurance, five social insurances and one housing fund, employee travel, year-end bonus, holiday benefits, regular physical examination, stock options, meal allowance, overtime allowance, afternoon tea with snacks"
701, Hangzhou Binjiang District Changhe, 20-35K 15 salary, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, distributed technology," Meal allowance, five social insurances and one housing fund, supplementary medical insurance, stock options, overtime allowance, employee travel, year-end bonus, holiday benefits, regular physical examination, afternoon tea with snacks"
702, Dongguan·Dalang Town·Songshan Lake, 14-25K 13 salary, iSoftStone," Computer software has been listed for more than 10,000 people", 1-3 years undergraduate, python,"Team building activities, free shuttle bus, afternoon tea with snacks, paid annual leave, regular physical examination, overtime allowance, holiday benefits, transportation allowance, five social insurances and one housing fund"
703, Hangzhou, 20-30K 13 salary, Zhongzhi Group, Internet does not require financing 500-999 people, Unlimited undergraduate experience, data structure," Statutory holidays, regular physical examination, five insurances and one housing fund, paid annual leave, stock options, holiday benefits, year-end bonus, employee travel, employee dormitory, full attendance award"
704, Shenzhen·Baoan District·Shiyan, 10-15K·14 salary, Yishen, E-commerce unfinanced 100-499 people, Unlimited undergraduate experience, Non-standard equipment," Paid annual leave, five insurances and one housing fund, holiday benefits, full attendance bonus, regular physical examination"
705, Shanghai·Pudong New Area·Zhangjiang, 12-15K, Shanghai Ruju, Computer software unfinanced 100-499 people, 1-3 years undergraduate, SQL," Employee travel, year-end bonus, paid annual leave, five insurances and one housing fund, communication subsidy, full attendance award, holiday benefits, regular medical examination"
706, Taizhou·Jiaojiang District·Old Town, 8-12K, Tong Cheng Tong Mei," Training institutions have listed more than 10,000 people",Unlimited undergraduate experience, Java," Internal enrollment quota, holiday benefits, full attendance award, employee travel, communication subsidy, paid annual leave, customized work clothes, five insurances and one housing fund, snacks, afternoon tea, stock options"
707, Shenzhen, 11-22K, Chenshi Intelligence, Computer software A round 20-99 people, 1-3 years undergraduate, MySQL," Five social insurances and one housing fund, paid annual leave, employee travel, snacks, afternoon tea, holiday benefits"
708, Wuxi, 8-11K, Jiangsu Tianyi, Internet does not require financing 20-99 people, 1-3 years college, software engineer," Afternoon tea with snacks, housing subsidy, transportation subsidy, holiday benefits, five social insurances and one housing fund, free food, employee travel, communication subsidy, year-end bonus"
709, Beijing · Fengtai District · Jiaomen, 180-300 yuan/day, Dot Smart Connect, Communication/Network Equipment Unfinanced 20-99 Persons, 5 days/week 6 months junior college, Unix," Paid annual leave, holiday benefits, five insurances, paid training, year-end bonuses, regular physical examinations, multiple salary adjustments every year"
710, Qingdao·Huangdao District·Tangdao Bay, 5-10K, Cameron Network, The game is not financed 0-20 people, Current/Fresh College,game development," Afternoon tea with snacks, five insurances and one housing fund, overtime allowance, housing allowance, supplementary medical insurance"
711, Shanghai Pudong New Area Jinqiao, 15-30K," Huawei Terminal Co., Ltd."," Communication/network equipment does not require financing for more than 10,000 people", Unlimited undergraduate experience, python," Free shuttle bus, five insurances and one housing fund, year-end bonus, communication subsidy, employee travel, snack afternoon tea, overtime allowance, holiday benefits, supplementary medical insurance, paid annual leave, stock options, regular medical examination, transportation allowance, housing allowance"
712, Shanghai Minhang District Huacao, 250-300 yuan/day, snail insurance, Mobile Internet B round 100-499 people, 4 days/week 3 months undergraduate, MVC development," Supplementary medical insurance, five social insurances and one housing fund, employee travel, holiday benefits, gym basketball court, snack afternoon tea, meal supplement, paid annual leave"
713, Beijing·Changping District·Huilongguan, 25-40K 14 salary, Zhiqi'an Technology, Computer service angel wheel 20-99 people, 5-10 years undergraduate, distributed technology,"Meal allowance, holiday benefits, transportation allowance, employee travel, five social insurances and one housing fund, housing allowance, wedding package, afternoon tea with snacks"
714, Wuhan·Hongshan District·Dongting, 5-6K, Hua Yi Bai Rui, Training institutions 0-20 people, Experience is not limited to college, Java,
715," Liuzhou, Liubei District, Sanzhong Road", 5-10K, Huachuang, Radio/film and television 20-99 people, 1-3 years of education is not limited, python,
716, Xi'an Yanta District High-tech Software Park, 15-20K, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, Web crawler technology," Holiday benefits, afternoon tea with snacks, stock options, supplementary medical insurance, five social insurances and one housing fund, employee travel, year-end bonus, meal allowance, overtime allowance, regular physical examination"
717, Beijing · Xicheng District · Zoo, 14-20K 14 salary, Qi Anxin Group, Information security has listed 1000-9999 people, Current/Fresh Undergraduate, cyber security," Supplementary medical insurance, meal allowance, stock options, holiday benefits, regular physical examination, paid annual leave, transportation allowance, afternoon tea with snacks, year-end bonus, five insurances and one housing fund, communication allowance"
718,Wuhan·Hongshan District·Optics Valley, 8-13K, Learning Chain Technology, Computer software 0-20 people, 1-3 years college, python,
719, Changsha·Yuelu District·Lugu, 6-10K, Bobin Education, Online education does not require financing for 0-20 people, 3-5 years junior college, python," Meal allowance, holiday benefits, housing allowance, full attendance bonus, employee travel, paid annual leave, afternoon tea with snacks, year-end bonus"
720, Nanjing · Jiangning District · Baijia Lake, 14-20K 14 salary, Nanqi Xiance, Computer software A round 20-99 people, 1-3 years undergraduate, container technology," Five insurances and one housing fund, stock options, transportation allowance, year-end bonus, employee travel, overtime allowance, meal allowance, supplementary medical insurance, paid annual leave, snacks, afternoon tea, holiday benefits, regular physical examination"
721, Suzhou · Yongqiao District · Viaduct, 3-6K, Huiyou Education, Training institutions have not financed 0-20 people, 1-3 years college, python," Staff travel, attendance bonus, year-end bonus"
722, Shanghai·Yangpu District·East Bund, 30-50K 16 salary, Dewu App, E-commerce B round 1000-9999 people, 3-5 years undergraduate, distributed technology,"Stock options, five insurances and one housing fund, year-end bonus, overtime allowance, meal allowance, paid annual leave, regular medical examination, employee travel, holiday benefits, transportation allowance, housing allowance, snacks and afternoon tea"
723," Beijing, Haidian District, Shangdi", 20-30K 13 salary, Guoke Hengtong, Computer software unfinanced 100-499 people, 3-5 years undergraduate, python," Five insurances and one housing fund, communication subsidy, regular physical examination, holiday benefits, paid annual leave, year-end bonus, employee travel"
724, Shenzhen·Nanshan District·Science and Technology Park, 10-15K, Bowo Wisdom, Computer software unfinanced 100-499 people, 1-3 years college, Java," Certificate subsidy, overtime subsidy, holiday benefits, regular physical examination, computer subsidy, year-end bonus, full attendance award, five insurances and one housing fund, meal subsidy, communication subsidy, paid annual leave, employee travel"
725, Shenzhen·Nanshan District·Science and Technology Park, 11-20K·13 Salary, the Internet, E-commerce does not require financing for 20-99 people, 3-5 years undergraduate, Java," Regular physical examination, overtime allowance, afternoon tea with snacks, paid annual leave, employee travel, five insurances and one housing fund, attendance bonus, year-end bonus, meal allowance"
726,Urumqi·New Urban·Satellite Square, 8-10K, Shanye Star Network Technology, Internet A round 20-99 people, 1-3 years undergraduate, python," Supplementary medical insurance, stock options, housing allowance, employee travel, afternoon tea with snacks, communication allowance, transportation allowance, overtime allowance, year-end bonus, holiday benefits, regular medical examination"
727," Shenzhen, Luohu District, Liantang", 11-20K, palm the world, The game does not require financing 100-499 people, 1-3 years undergraduate, MySQL," Year-end bonus, employee travel, stock options, regular physical examination, paid annual leave, transportation allowance, five social insurances and one housing fund, overtime allowance, meal allowance, communication allowance, holiday benefits, attendance bonus"
728, Shanghai·Hongkou District·Zhoujiazui Road, 15-25K, Gopher Assets, Internet finance 100-499 people, 3-5 years undergraduate, python,
729, Wuhan · Jiangxia District · Optics Valley, 10-15K·15 salary, Suzaku Wentian, Computer software does not require financing for 20-99 people, 1-3 years undergraduate, python," Five insurances and one housing fund, stock options, supplementary medical insurance, paid annual leave, afternoon tea with snacks"
730, Shanghai·Pudong New Area·Zhangjiang,20-35K 13 salary, Fuxin Communication, Communication/Network Equipment Unfinanced 100-499 Persons, 3-5 years undergraduate, Multithreading," Year-end bonus, regular physical examination, afternoon tea with snacks, holiday benefits, paid annual leave, overtime allowance, meal allowance, employee travel, five insurances and one housing fund, free shuttle bus"
731, Hangzhou·Xihu District·High-tech Cultural and Educational District, 15-26K·16 salary, wedding ceremony, Internet D round and above 1000-9999 people, 3-5 years of education is not limited, MySQL," Regular team building, holiday benefits, supplementary medical insurance, year-end bonus, regular physical examination, five insurances and one housing fund, meal allowance, transportation allowance, paid annual leave, stock options, employee travel, overtime allowance, snacks and afternoon tea"
